name;short_name;streetAddress;department;province;district;area
A ROCHA PERU;;Calle Federico Gerdes 193 Urb. Las Lilas;LIMA;LIMA;SANTIAGO DE SURCO;AMBIENTE / EDUCACIÓN
ABBA INTERNATIONAL;;JR. AUGUSTO B. LEGUÍA N° 1211;SAN MARTIN;SAN MARTIN;TARAPOTO;GÉNERO
ACCION ANDINA O.N.G.D.;;JR. GARCILASO DE LA VEGA 755;AYACUCHO;HUAMANGA;AYACUCHO;AMBIENTE / EDUCACIÓN / GÉNERO / INCLUSIÓN SOCIAL
ACCION CRISTIANA INTEGRAL PARA EL DESARROLLO;ACID;AV. IQUITOS  Nº 900  CASTILLO GRANDE;HUANUCO;LEONCIO PRADO;RUPA-RUPA;EDUCACIÓN / GÉNERO / SALUD
ACCION HUMANITARIA SIN FRONTERAS;;JR. FRANCISCO CORNEJO 275;LIMA;LIMA;LOS OLIVOS;EDUCACIÓN / SALUD / VIVIENDA Y SANEAMIENTO
ACCION PARA EL DESARROLLO DEL NIÑO Y LA MUJER;ADENIM;AV. ESTEBAN CAMPODONICO 224 - OF. 203;LIMA;LIMA;LA VICTORIA;EDUCACIÓN / GÉNERO
ACCION PARA LA GESTION Y EL DESARROLLO RURAL SOSTENIBLE DE PERU;AGEDRUS PERU;AV. HORACIO URTEAGA 1818, OFICINA 101;LIMA;LIMA;JESUS MARIA;AGROPECUARIO / COMERCIO Y TURISMO
ACCION POR LOS NIÑOS;;CALLE FELIX DIBOS 375, OFICINA 202;LIMA;LIMA;MAGDALENA DEL MAR;EDUCACIÓN / GÉNERO / GOBERNABILIDAD / SALUD
ACCION SOCIAL E INTEGRACION;ACSI;JR. IGNACIO SEMINARIO 169 ZONA B;LIMA;LIMA;SAN JUAN DE MIRAFLORES;EDUCACIÓN / GÉNERO / SALUD
ACCIÓN SOCIAL POR LA NIÑEZ Y POBLACIONES VULNERABLES - ASPNYPV;ASPNYPV;CALLE AREQUIPA 136;HUANUCO;HUANUCO;HUANUCO;EDUCACIÓN / GOBERNABILIDAD
ACCION SOCIAL Y DESARROLLO;ASDE;CALLE CAHUIDE 313;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;AGROPECUARIO / ECONOMÍA / EDUCACIÓN / GÉNERO / INCLUSIÓN SOCIAL / PRODUCCIÓN / SALUD / VIVIENDA Y SANEAMIENTO
ACCION Y DESARROLLO;;JR. TIAHUANACO 654, 2do PISO - URB. ZARATE;LIMA;LIMA;SAN JUAN DE LURIGANCHO;GÉNERO / GOBERNABILIDAD
ACCIONA ORG PERU;ACCIONA ORG PERU;JR. VON HUMBOLDT 245 - URB. SAN LUIS;CAJAMARCA;CAJAMARCA;CAJAMARCA;ENERGÍA/EXTRACTIVA
AGENCIA ADVENTISTA PARA EL DESARROLLO Y RECURSOS ASISTENCIALES - PERU;ADRA PERU;AV. ANGAMOS OESTE 770;LIMA;LIMA;MIRAFLORES;EDUCACIÓN / GÉNERO / GOBERNABILIDAD / INCLUSIÓN SOCIAL / SALUD
AGENCIA DE SERVICIOS ESTRATEGICOS PARA EL DESARROLLO URBANO REGIONAL;ASEDUR;CALLE BOLOGNESI 125 - OFICINA 1004;LIMA;LIMA;MIRAFLORES;GOBERNABILIDAD
AGENCIA INTERNACIONAL DE COOPERACION Y DESARROLLO;AICODE;URB. AVIENTEL MZ. C LOTE 9;LAMBAYEQUE;CHICLAYO;PIMENTEL;AMBIENTE / GÉNERO
AGENCIA TECNOLOGICA DE DESARROLLO INTEGRAL PRODUCTIVO;AGETEC;CALLE PACHACUTEC 790 URBANIZACION SANTA MARIA;LA LIBERTAD;TRUJILLO;TRUJILLO;AGROPECUARIO / AMBIENTE
AGRO INDUSTRIA;;CALLE TORRES PAZ  319 2DO. PISO;LAMBAYEQUE;CHICLAYO;CHICLAYO;AGROPECUARIO / CIENCIA Y TECNOLOGÍA
AGROSALUD DE UCAYALI;;JR. ATAHUALPA 728;UCAYALI;CORONEL PORTILLO;CALLERIA;AGROPECUARIO / AMBIENTE / GÉNERO / SALUD
AGRUPACION DE LIMITADOS FISICOS DE SAN JUAN DE DIOS, ORTOPEDIA Y BIOMECANICA EN GENERAL;ALFSJDIOS;AV. DEL ARQUE MZA. T. LT. 06 URB. PACHACAMAC;LIMA;LIMA;VILLA EL SALVADOR;SALUD
AGUA Y SANEAMIENTO PARA PERU;AGUASAN PERU;CALLE LA LADERA 205 - URB. LAS VIÑAS;LIMA;LIMA;LA MOLINA;VIVIENDA Y SANEAMIENTO
AHORA AYUDANOS AYUDAR A QUEMADOS;;Calle Agua Marina N°266 – Urb. La Huayrona;LIMA;LIMA;SAN JUAN DE LURIGANCHO;EDUCACIÓN / GÉNERO / INCLUSIÓN SOCIAL / JUSTICIA / SALUD / VIVIENDA Y SANEAMIENTO
AKUY UKUKU;;AV. FAUSTINO SANCHEZ CARRION 750, INTERIOR 1203;LIMA;LIMA;MAGDALENA DEL MAR;AMBIENTE / EDUCACIÓN
ALBA - TURISMO SUSTENTABLE;;CALLE 33 N°210, DPTO. 103 - URB. CORPAC ;LIMA;LIMA;SAN ISIDRO;AMBIENTE / GÉNERO
ALBERGUE DE LA IGLESIA SANTO MONTE DE JEHOVA;;CALLE PRIMAVERA 143 ANEXO DE VISTA ALEGRE;JUNIN;HUANCAYO;SAN AGUSTIN;GÉNERO
ALBERGUE INSPIRA;;JIRON LOS MANGLARES MZ C LOTE 13A URBANIZACION LOS OLIVOS;LIMA;LIMA;SANTIAGO DE SURCO;INCLUSIÓN SOCIAL / SALUD
ALDEAS INFANTILES SOS PERU - ASOCIACION NACIONAL;;CALLE RICARDO ANGULO 744 URB. CORPAC;LIMA;LIMA;SAN ISIDRO;GÉNERO
ALIADOS DE IMPACTO;;AV. NICOLÁS ARRIOLA N°314 INTERIOR 1101 URB. SANTA CATALINA;LIMA;LIMA;LA VICTORIA;PRODUCCIÓN
ALLIN TARPUCC;;Jr. Jorge Chavez Mz. 24 Lote 03;LIMA;LIMA;LURIN;EDUCACIÓN / INCLUSIÓN SOCIAL
ALLPANCHIS;;AV. PAZ SOLDAN 190;LIMA;LIMA;SAN ISIDRO;AMBIENTE
ALMA CAPAC;ALMA CAPAC;JR. CAMANA 381 - OFICINA 206;LIMA;LIMA;LIMA;GÉNERO / TRABAJO
ALTERNATIVA CENTRO DE INVESTIGACION SOCIAL Y EDUCACION POPULAR;;JR. EMETERIO PEREZ 348 - URBANIZACION INGENIERIA;LIMA;LIMA;SAN MARTIN DE PORRES;PRODUCCIÓN / SALUD / TRABAJO / VIVIENDA Y SANEAMIENTO
ALTERNATIVAS SOCIALES DE DESARROLLO - PERU;ASODE - PERU;JR. CABO GUTARRA  965;LIMA;LIMA;PUEBLO LIBRE;GÉNERO / SALUD
AMA - ASOCIACION INDIGENA DEL PERU;AMA;PASAJE MARTICORENA 106 2DO PISO ( REFERENCIA PARADERO LA LEGUA/UNCP, UNA CUADRA Y MEDIA ANTES DE FERROCARRIL);JUNIN;HUANCAYO;EL TAMBO;INCLUSIÓN SOCIAL
AMAGREENZONE;;JR. AVIACION NRO. 2-41;SAN MARTIN;SAN MARTIN;CHAZUTA;EDUCACIÓN / INCLUSIÓN SOCIAL
AMANTANI CCORCA;A CCORCA;URBANIZACION MARISCAL GAMARRA PASAJE LOS ROSALES 20 D;CUSCO;CUSCO;CUSCO;EDUCACIÓN / GÉNERO / SALUD
AMAS AL PERU;;AV. MANSICHE 385;LA LIBERTAD;TRUJILLO;TRUJILLO;EDUCACIÓN / GÉNERO
AMAZON FOREVER;;CARRETERA IQUITOS - NAUTA K.M. 13.8;LORETO;MAYNAS;BELEN;AMBIENTE / EDUCACIÓN
AMAZON KING INTERNATIONAL EDUCATIONAL CENTER - AKIEC;;Av. 21 N° 239 Dpto. 1208 (Edificio 10 – Girasoles) /;LIMA;LIMA;COMAS;AGROPECUARIO / AMBIENTE / GÉNERO / SALUD / TRABAJO
AMAZONIA SIN FRONTERAS;;Jr. Pucallpa 377;LORETO;MAYNAS;IQUITOS;AMBIENTE / EDUCACIÓN / SALUD
AMAZONICOS POR LA AMAZONIA;AMPA;Manzana N lote 1 urbanización vista Alegre;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;GOBERNABILIDAD
AMBIENTE Y FORESTA PERU;;Av. Roca y Bologna 251 (501);LIMA;LIMA;MIRAFLORES;CULTURA / EDUCACIÓN / GOBERNABILIDAD
AMOR SIN FRONTERAS JJJJ ONG;;Fundo Buenavista Av. Huaral – Chancay UC 101666 s/n (a 1 minuto de Torreblanca);LIMA;HUARAL;CHANCAY;SALUD
ANGELES DEL CAMINO;;Prolongación EMADIPERU Secc. 3 Mz. U Lote 6 Urb. G, Pedro Diez Canseco (Frente al Parque Pedro Diez Canseco);AREQUIPA;AREQUIPA;JOSE LUIS BUSTAMANTE Y RIVERO;EDUCACIÓN / INCLUSIÓN SOCIAL / JUSTICIA / SALUD
APEGA: SOCIEDAD PERUANA DE GASTRONOMIA - ASOCIACION CIVIL;APEGA - ASOCIACION CIVIL;JR.DIEGO GAVILAN Nº 126;LIMA;LIMA;MAGDALENA DEL MAR;EDUCACIÓN
APES MISIONES RURALES;;JR. SANTORIN 258 URB. EL VIVERO;LIMA;LIMA;SANTIAGO DE SURCO;CIENCIA Y TECNOLOGÍA / EDUCACIÓN / INCLUSIÓN SOCIAL / SALUD / VIVIENDA Y SANEAMIENTO
APORTES PARA EL DESARROLLO HUMANO;APORTES;JR. LARRABURE Y UNANUE 231, OFICINA 903;LIMA;LIMA;JESUS MARIA;EDUCACIÓN / GÉNERO
APOYARTE PERU;;CALLE JUAN VELASCO ALVARADO MZ. 06, LOTE 19 SECTOR II, C.P. EL MILAGRO;LA LIBERTAD;TRUJILLO;HUANCHACO;EDUCACIÓN / GÉNERO
APOYO A PROGRAMAS DE POBLACION - APROPO;APROPO;AV. CANAVAL Y MOREYRA 345 PISO 3;LIMA;LIMA;SAN ISIDRO;CIENCIA Y TECNOLOGÍA / EDUCACIÓN / GÉNERO / GOBERNABILIDAD / INCLUSIÓN SOCIAL / SALUD
APOYO SOCIAL Y DESARROLLO AGRARIO SALUD Y SONRISAS - ASDAS Y SONRISAS;;Asentamiento Humano Pan con Libertad Mz. B Lote 11 ;LIMA;LIMA;SAN MARTIN DE PORRES;AGROPECUARIO / CIENCIA Y TECNOLOGÍA / EDUCACIÓN / GOBERNABILIDAD / INCLUSIÓN SOCIAL / PRODUCCIÓN / SALUD
APOYO SOCIAL, PREVENCION DE DESASTRES Y MEDIO AMBIENTE - ASPRED;;CALLE MANCO CAPAC 188;LA LIBERTAD;TRUJILLO;HUANCHACO;EDUCACIÓN / SALUD
APRENDA ASOCIACION PARA EL DESARROLLO SOSTENIBLE;;Avenida Manuel Olguín 325, Piso 12 ;LIMA;LIMA;SANTIAGO DE SURCO;EDUCACIÓN / PRODUCCIÓN
